0193.2001.109.d,-7.410000,155.8650,14.00000,6.7,0.416E+19,-0.251E+19,-0.165E+19,0.301E+19,-0.244E+19,0.254E+19,
0193.2001.357.a,-9.613000,159.5300,12.00000,6.8,0.655E+19,-0.647E+19,-0.831E+17,0.782E+18,-0.136E+20,-0.134E+19,
0193.2004.282.a,-10.95100,162.1610,32.00000,6.8,0.780E+19,-0.361E+19,-0.419E+19,0.521E+19,0.860E+19,0.821E+19,
0193.2004.314.a,-11.15000,163.7060,6.000000,6.9,-0.569E+19,0.266E+19,0.303E+19,-0.941E+19,0.375E+19,0.187E+20,
0193.2004.316.a,-11.12800,162.2080,6.000000,6.6,0.911E+17,-0.120E+18,0.288E+17,0.674E+18,-0.626E+18,0.840E+17,
0193.2006.244.a,-6.759000,155.5120,36.00000,6.7,0.169E+20,-0.726E+19,-0.967E+19,-0.191E+19,-0.102E+19,0.632E+19,
0193.2007.179.a,-7.969000,154.6300,16.00000,6.7,0.159E+19,0.814E+19,-0.973E+19,0.565E+19,-0.340E+19,0.542E+19,
0193.2007.228.a,-9.715100,159.3353,2.000000,6.7,-0.337E+18,0.307E+19,-0.273E+19,0.448E+18,0.813E+17,0.399E+19,
0196.2001.254.a,-0.5780000,133.1300,20.00000,6.5,0.132E+19,-0.141E+19,0.863E+17,0.252E+19,-0.107E+18,0.595E+19,
0196.2004.039.a,-3.665000,135.3390,34.00000,6.7,-0.153E+19,-0.348E+19,0.501E+19,-0.200E+19,-0.232E+18,-0.525E+19,
0196.2004.210.a,-0.4430000,133.0910,10.00000,6.5,0.475E+19,-0.509E+19,0.345E+18,-0.263E+19,0.188E+19,0.233E+19,
0200.2002.010.a,-3.212000,142.4270,10.00000,6.7,0.624E+19,-0.228E+19,-0.396E+19,0.165E+19,0.718E+19,0.391E+19,
0200.2005.101.a,-3.484000,145.9090,20.00000,6.7,0.953E+18,-0.140E+18,-0.813E+18,0.344E+18,0.881E+18,0.562E+19,
0209.2005.016.a,10.93400,140.8420,8.000000,6.6,-0.567E+19,0.560E+19,0.700E+17,0.413E+19,-0.179E+19,0.229E+19,
0212.1996.311.a,27.99900,143.5380,9.000000,6.6,-0.314E+19,0.945E+17,0.304E+19,-0.468E+18,-0.152E+19,-0.883E+18,
0215.2001.184.a,21.64100,142.9840,298.0000,6.5,0.564E+19,-0.193E+19,-0.371E+19,-0.875E+18,0.122E+19,-0.255E+19,
0216.2002.226.a,14.10100,146.1990,24.00000,6.5,0.324E+19,-0.175E+19,-0.149E+19,0.875E+18,0.177E+19,0.420E+19,
0216.2005.036.a,16.01100,145.8670,124.0000,6.6,-0.487E+19,0.478E+19,0.886E+17,-0.623E+18,0.383E+19,-0.336E+19,
0216.2007.030.a,20.98500,144.6960,16.00000,6.5,-0.218E+19,0.820E+19,-0.602E+19,0.432E+19,0.225E+19,0.204E+18,
0217.2004.162.a,55.68200,160.0030,190.0000,6.9,-0.147E+20,-0.801E+18,0.155E+20,-0.140E+20,-0.195E+20,0.403E+19,
0218.2006.236.a,51.14800,157.5220,42.00000,6.5,0.578E+19,-0.274E+19,-0.304E+19,0.236E+18,0.147E+19,-0.309E+19,
0219.1992.062.a,52.91500,159.8860,34.00000,6.9,0.262E+20,-0.963E+19,-0.165E+20,0.279E+19,0.118E+20,-0.604E+19,
0219.2001.281.b,52.59100,160.3240,24.00000,6.5,0.148E+19,-0.262E+18,-0.122E+19,0.760E+18,0.277E+19,0.230E+19,
0221.2000.028.a,43.04600,146.8370,42.00000,6.8,0.963E+19,0.416E+19,-0.138E+20,0.137E+20,0.460E+19,-0.393E+19,
0221.2001.145.a,44.26800,148.3930,20.00000,6.7,0.482E+19,0.564E+19,-0.105E+20,0.231E+19,0.641E+19,-0.244E+19,
0221.2006.273.a,46.35100,153.1660,11.00000,6.6,0.429E+19,-0.166E+19,-0.263E+19,0.220E+19,0.748E+19,-0.175E+19,
0221.2006.274.a,46.47000,153.2400,18.00000,6.6,0.959E+18,-0.539E+18,-0.420E+18,0.342E+19,0.453E+19,0.164E+19,
0224.2004.341.a,42.90000,145.2280,34.00000,6.8,0.120E+20,-0.102E+20,-0.180E+19,0.189E+19,0.872E+19,-0.421E+19,
0226.2004.297.b,37.22600,138.7790,16.00000,6.6,0.328E+19,-0.166E+19,-0.162E+19,-0.960E+18,-0.233E+18,-0.234E+19,
0226.2007.084.a,37.33600,136.5880,8.000000,6.6,0.106E+20,0.184E+19,-0.125E+20,0.364E+19,-0.249E+19,-0.654E+19,
0226.2007.197.a,37.58450,138.3778,14.00000,6.7,0.789E+19,-0.366E+19,-0.423E+19,-0.464E+19,-0.323E+19,-0.530E+19,
0227.2001.336.a,39.40200,141.0890,112.0000,6.5,-0.110E+19,0.237E+18,0.858E+18,-0.588E+18,0.621E+19,-0.867E+18,
0228.2005.336.a,38.08900,142.1220,27.00000,6.5,0.364E+19,-0.485E+18,-0.315E+19,0.167E+19,0.497E+19,-0.298E+18,
0229.2005.019.a,34.06400,141.4910,44.00000,6.5,0.183E+18,0.687E+18,-0.871E+18,0.101E+17,0.431E+19,0.207E+19,
0230.2004.250.a,33.20500,137.2270,24.00000,6.7,0.428E+19,-0.669E+19,0.241E+19,0.471E+18,0.133E+19,-0.171E+19,
0235.2005.079.a,33.80700,130.1310,6.000000,6.6,0.135E+19,0.429E+19,-0.564E+19,0.108E+19,-0.344E+18,0.265E+19,
0243.2001.352.a,23.95400,122.7340,16.00000,6.9,-0.813E+19,-0.430E+19,0.124E+20,0.234E+19,-0.657E+17,0.402E+19,
0243.2004.289.a,24.53000,122.6940,94.00000,6.6,0.357E+19,-0.861E+19,0.504E+19,0.657E+19,-0.283E+19,-0.391E+19,
0244.1999.268.a,23.73800,121.1580,16.00000,6.5,0.268E+19,-0.169E+18,-0.251E+19,-0.383E+18,-0.204E+19,-0.218E+19,
0244.2003.344.a,23.03900,121.3620,10.00000,6.8,0.174E+20,-0.445E+19,-0.130E+20,-0.591E+19,0.294E+19,-0.578E+18,
0245.2005.288.a,25.32100,123.3560,183.0000,6.5,0.283E+18,-0.336E+19,0.307E+19,0.511E+19,0.132E+19,-0.130E+19,
0259.2003.146.a,6.761000,123.7070,578.0000,6.8,-0.484E+19,-0.482E+19,0.965E+19,0.105E+20,-0.162E+20,0.145E+19,
0263.2005.046.a,4.756000,126.4210,54.00000,6.6,0.316E+19,0.356E+18,-0.352E+19,0.502E+18,0.260E+19,0.270E+19,
0266.2007.207.a,2.799900,127.4930,48.00000,6.7,0.351E+20,-0.128E+20,-0.223E+20,0.367E+19,0.234E+18,0.372E+19,
0267.2007.051.a,-1.058800,127.0663,6.000000,6.5,-0.214E+19,0.252E+18,0.189E+19,0.749E+18,-0.873E+19,0.105E+20,
0272.2004.028.a,-3.120000,127.4000,28.00000,6.6,-0.198E+19,0.294E+19,-0.964E+18,0.373E+19,0.590E+19,0.949E+19,
0272.2006.073.a,-3.595000,127.2140,14.00000,6.7,-0.352E+19,0.556E+19,-0.204E+19,-0.611E+19,-0.722E+19,0.118E+20,
0274.2005.100.a,-1.644000,99.60700,12.00000,6.7,0.770E+19,-0.425E+19,-0.345E+19,-0.137E+19,0.367E+19,0.297E+19,
0276.1999.355.a,-6.845000,105.5550,40.00000,6.6,0.572E+18,0.857E+18,-0.143E+19,0.451E+19,-0.921E+18,-0.272E+19,
0276.2002.178.a,-6.963000,104.1810,10.00000,6.5,0.613E+19,-0.491E+19,-0.121E+19,-0.102E+19,-0.576E+18,0.179E+19,
0280.2000.220.a,-7.018000,123.3570,652.0000,6.5,-0.384E+19,0.419E+19,-0.353E+18,-0.345E+19,0.115E+19,0.969E+18,
0286.2003.084.a,-8.294000,120.7430,34.00000,6.5,-0.465E+18,-0.164E+19,0.210E+19,-0.220E+19,0.423E+17,0.204E+19,
0288.2004.114.a,-9.362000,122.8390,64.00000,6.7,-0.313E+19,0.692E+19,-0.379E+19,0.849E+19,0.300E+19,-0.201E+19,
0297.1995.192.a,21.96600,99.19600,4.000000,6.8,0.195E+18,-0.138E+20,0.136E+20,-0.973E+18,0.132E+18,0.813E+19,
0302.1996.324.a,35.34500,78.13300,42.00000,6.8,0.332E+19,0.108E+19,-0.440E+19,0.259E+19,0.100E+20,0.229E+20,
0318.1996.034.a,27.29100,100.2760,10.00000,6.6,-0.145E+19,-0.926E+18,0.237E+19,-0.321E+18,0.162E+18,-0.385E+18,
0326.2003.274.a,50.21100,87.72100,12.00000,6.7,0.121E+19,-0.124E+20,0.112E+20,-0.233E+19,-0.747E+18,-0.392E+19,
0341.1997.035.a,37.66100,57.29100,6.000000,6.5,0.796E+18,-0.578E+19,0.498E+19,-0.388E+17,0.437E+18,0.302E+19,
0347.2002.173.a,35.62600,49.04700,6.000000,6.5,0.633E+19,-0.517E+19,-0.116E+19,0.152E+19,-0.131E+19,0.301E+19,
0353.2003.360.a,28.99500,58.31100,8.000000,6.6,0.164E+19,-0.253E+19,0.896E+18,-0.149E+18,-0.571E+18,0.623E+19,
0366.2002.034.a,38.57300,31.27100,2.000000,6.5,-0.267E+19,0.183E+19,0.842E+18,-0.516E+18,0.813E+17,0.191E+17,
0368.2006.008.a,36.31100,23.21200,56.00000,6.7,0.125E+20,-0.217E+19,-0.103E+20,0.504E+19,0.174E+19,-0.896E+19,
0372.1996.283.a,34.55600,32.12600,20.00000,6.8,0.391E+19,0.854E+19,-0.124E+20,0.979E+19,-0.562E+18,-0.777E+19,
0396.2003.141.a,36.96400,3.634000,9.000000,6.8,0.117E+20,-0.705E+19,-0.464E+19,-0.652E+19,-0.485E+19,-0.137E+19,
0402.2003.134.b,18.26600,-58.63300,29.00000,6.6,0.195E+19,-0.915E+19,0.720E+19,0.112E+19,-0.407E+19,-0.650E+19,
0406.1996.345.a,0.8700000,-30.03900,6.000000,6.7,0.331E+18,-0.271E+19,0.238E+19,-0.724E+18,-0.287E+18,-0.817E+19,
0406.2003.355.a,-0.7690000,-20.60100,32.00000,6.6,0.723E+17,0.351E+19,-0.358E+19,0.223E+19,0.342E+18,-0.477E+19,
0406.2005.012.a,-0.8780000,-21.19400,32.00000,6.8,0.125E+19,0.633E+19,-0.758E+19,0.275E+19,-0.975E+19,-0.137E+20,
0407.1996.047.a,-1.496000,-15.27900,4.000000,6.6,-0.541E+18,0.432E+19,-0.378E+19,-0.774E+18,0.705E+17,-0.600E+19,
0407.1996.049.a,-1.266000,-14.27300,6.000000,6.6,-0.409E+18,0.244E+19,-0.203E+19,0.147E+18,0.310E+19,-0.625E+19,
0410.2005.047.a,-36.32000,-16.55800,4.000000,6.6,-0.336E+18,-0.161E+19,0.194E+19,0.284E+18,-0.213E+18,0.567E+19,
0412.2003.107.a,-54.62400,1.432000,3.000000,6.5,-0.943E+18,0.575E+19,-0.480E+19,-0.136E+18,0.792E+18,-0.760E+18,
0431.1997.118.a,-42.50400,42.68600,4.000000,6.8,-0.130E+18,0.295E+19,-0.282E+19,-0.138E+18,0.485E+18,0.691E+19,
0431.2003.027.a,-46.04800,35.05700,2.000000,6.5,-0.784E+18,0.364E+19,-0.285E+19,0.919E+17,0.294E+18,0.334E+19,
0435.2002.164.a,-47.80100,99.75100,6.000000,6.6,-0.196E+18,0.658E+19,-0.638E+19,-0.282E+18,-0.690E+17,-0.135E+19,
0435.2005.302.a,-45.21400,96.89800,8.000000,6.5,-0.268E+19,0.477E+19,-0.208E+19,0.271E+18,-0.635E+18,-0.124E+19,
0437.2000.163.a,-50.57900,139.5500,14.00000,6.6,0.537E+18,0.826E+17,-0.620E+18,0.863E+17,-0.108E+19,-0.428E+19,
0572.2005.339.a,-6.224000,29.83000,18.00000,6.8,-0.162E+20,0.537E+19,0.108E+20,-0.709E+19,-0.364E+19,-0.784E+19,
0613.2006.288.a,19.87800,-155.9350,28.00000,6.7,-0.307E+19,0.356E+19,-0.496E+18,-0.142E+19,-0.355E+19,-0.104E+20,
0632.1994.043.a,-10.77700,-128.8270,12.00000,6.6,-0.104E+20,0.456E+19,0.587E+19,-0.244E+19,-0.191E+19,0.268E+19,
