0001.2002.296.a,63.51400,-147.9120,12.00000,6.7,-0.279E+19,0.152E+19,0.127E+19,0.927E+18,-0.131E+18,-0.142E+20,
0002.2001.209.a,59.02500,-155.1160,130.0000,6.6,0.440E+19,-0.115E+20,0.706E+19,0.161E+18,0.737E+19,0.753E+19,
0113.2007.202.a,-7.976300,-71.12990,639.0000,6.1,-0.481E+18,-0.236E+18,0.716E+18,-0.603E+18,0.104E+19,-0.224E+18,
0171.2002.181.a,-22.20100,179.2500,619.0000,6.4,-0.323E+19,0.165E+19,0.159E+19,-0.842E+17,-0.510E+19,-0.319E+19,
0171.2002.251.a,-22.83600,178.9330,608.0000,5.9,0.109E+18,0.323E+18,-0.432E+18,-0.796E+18,-0.362E+18,-0.218E+18,
0132.2000.114.a,-28.38400,-62.94300,611.0000,6.1,0.499E+18,-0.297E+18,-0.202E+18,-0.559E+18,0.270E+17,0.122E+19,
0132.2000.114.b,-28.30700,-62.99000,602.0000,7.0,0.449E+19,0.546E+19,-0.995E+19,-0.773E+19,0.274E+20,-0.119E+20,
0132.2006.265.a,-26.86800,-63.14900,604.0000,6.0,-0.841E+18,0.820E+17,0.759E+18,-0.464E+18,0.517E+18,-0.220E+18,
0171.2000.166.a,-25.51600,178.0460,606.0000,6.4,-0.207E+19,-0.600E+18,0.267E+19,-0.629E+18,-0.320E+19,-0.169E+19,
0171.2002.231.a,-23.88400,178.4950,676.0000,7.7,0.297E+20,-0.492E+20,0.195E+20,-0.321E+21,-0.151E+21,0.137E+20,
0181.2001.212.a,-17.69200,-178.8260,612.0000,5.5,0.125E+18,0.695E+17,-0.195E+18,0.444E+16,-0.676E+17,-0.470E+17,
0181.2001.255.a,-20.99300,-179.1090,627.0000,6.5,-0.341E+19,0.116E+19,0.225E+19,-0.294E+19,-0.321E+19,0.470E+18,
0181.2002.231.a,-21.69600,-179.5130,619.0000,7.6,-0.145E+21,-0.718E+19,0.153E+21,-0.898E+20,-0.162E+21,-0.801E+19,
0181.2002.277.a,-20.99100,-179.0160,642.0000,6.3,-0.294E+19,0.157E+19,0.137E+19,-0.191E+19,-0.124E+19,0.829E+18,
0181.2002.290.a,-19.84200,-178.4010,616.0000,6.2,0.145E+17,0.761E+18,-0.776E+18,-0.118E+19,-0.208E+19,-0.623E+17,
0181.2002.362.a,-18.24700,-178.5340,628.0000,5.9,0.611E+18,-0.182E+18,-0.429E+18,-0.137E+18,-0.742E+18,0.218E+18,
0181.2004.322.a,-20.06800,-178.7100,621.0000,6.5,0.132E+19,-0.106E+19,-0.257E+18,-0.644E+19,-0.519E+19,-0.639E+18,
0181.2007.126.b,-19.40600,-179.3150,692.0000,6.1,0.138E+19,-0.418E+18,-0.962E+18,0.361E+18,-0.281E+18,-0.731E+18,
0181.2007.133.a,-19.51300,-179.3290,694.0000,5.8,0.465E+18,-0.210E+18,-0.255E+18,0.172E+18,-0.215E+18,-0.429E+18,
0216.2002.007.a,18.95700,144.9580,610.0000,5.9,-0.726E+18,-0.122E+18,0.848E+18,-0.341E+17,-0.153E+18,-0.359E+18,
0243.2003.160.a,24.41300,122.0200,32.00000,5.8,0.430E+18,-0.918E+17,-0.338E+18,-0.512E+17,0.236E+18,-0.975E+17,
0243.2004.313.a,24.10400,122.5420,34.00000,6.3,0.277E+19,-0.191E+19,-0.855E+18,-0.170E+18,0.181E+18,0.345E+18,
0267.2003.313.a,1.562000,127.3580,111.0000,5.8,-0.265E+18,0.137E+17,0.251E+18,0.140E+18,-0.580E+18,0.447E+17,
0280.2000.220.a,-7.018000,123.3570,652.0000,6.5,-0.384E+19,0.419E+19,-0.353E+18,-0.345E+19,0.115E+19,0.969E+18,
0320.2003.335.a,42.90500,80.51500,16.00000,6.0,0.616E+18,-0.695E+18,0.790E+17,0.172E+18,0.982E+17,-0.673E+17,
0402.2003.134.b,18.26600,-58.63300,29.00000,6.6,0.195E+19,-0.915E+19,0.720E+19,0.112E+19,-0.407E+19,-0.650E+19,
0403.2001.194.a,28.70320,-43.42060,2.000000,5.5,-0.229E+18,0.114E+18,0.114E+18,0.798E+17,-0.890E+17,0.121E+18,
0640.1990.147.a,74.22500,8.828000,2.000000,5.8,-0.510E+18,0.101E+18,0.409E+18,0.998E+17,0.984E+17,0.130E+18,
0720.2002.324.a,35.41400,74.51500,4.000000,6.4,-0.120E+19,0.638E+18,0.557E+18,0.552E+17,-0.144E+18,0.378E+18,
0181.2008.167.a,-17.73500,-179.7330,612.0000,6.0,-0.166E+18,0.154E+18,0.123E+17,0.524E+18,-0.828E+18,0.367E+17,
0663.2008.187.a,53.90000,153.0000,630.0000,7.5,-0.199E+21,-0.228E+21,0.427E+21,-0.196E+21,0.196E+20,-0.947E+20,
0181.2009.026.a,-17.79600,-178.5910,601.0000,5.8,-0.187E+18,0.353E+18,-0.167E+18,0.306E+18,-0.363E+18,0.239E+18,
0181.2009.027.a,-17.83700,-178.6770,601.0000,5.8,-0.166E+18,0.458E+18,-0.292E+18,0.232E+18,-0.398E+18,0.273E+18,
0181.2008.032.a,-21.49500,-179.3520,613.0000,6.0,-0.528E+17,0.592E+17,-0.645E+16,-0.106E+19,-0.765E+18,-0.202E+17,
0169.2006.271.a.OLD,-16.59200,-172.0330,22.00000,6.9,-0.254E+20,0.834E+18,0.246E+20,0.100E+20,0.241E+17,0.150E+19,
0181.2007.126.a,-19.40100,-179.3540,676.0000,6.4,0.553E+19,-0.164E+19,-0.389E+19,0.583E+18,-0.243E+19,-0.143E+19,
